Date,Open,High,Low,Close,Volume
2022-07-04,93.57,94.22,91.9,93.84,1356399
2022-07-05,94.4,96.72,93.04,95.21,708219
2022-07-06,95.2,97.42,95.2,96.13,671316
2022-07-07,95.29,96.52,95.16,96.01,1209992
2022-07-08,94.61,94.75,94.38,94.42,967424
2022-07-11,92.55,93.41,92.28,92.41,2415250
2022-07-12,92.86,93.43,92.65,92.83,693352
2022-07-13,90.8,91.67,90.05,90.56,2090899
2022-07-14,90.0,91.49,89.87,90.89,2484967
2022-07-15,91.67,93.01,89.44,91.61,1747171
2022-07-18,90.32,91.05,90.09,90.45,1293963
2022-07-19,89.02,89.28,87.68,88.42,1493926
2022-07-20,90.21,91.33,88.52,89.07,732732
2022-07-21,90.94,90.97,88.08,90.09,2111850
2022-07-22,91.86,92.78,91.86,92.09,847049
2022-07-25,89.63,90.22,88.76,89.84,792747
2022-07-26,90.32,90.88,90.32,90.79,2426230
2022-07-27,91.43,93.41,91.01,91.75,1512283
2022-07-28,92.3,92.87,91.77,92.72,1739175
2022-07-29,100.76,100.76,100.03,100.16,1419600
2022-08-01,106.87,106.87,104.5,105.7,2127940
2022-08-02,107.17,107.78,105.75,107.11,1352166
2022-08-03,106.19,107.24,106.06,106.46,1235518
2022-08-04,108.55,109.48,106.89,108.11,522062
2022-08-05,106.08,107.26,106.08,106.47,2020579
2022-08-08,104.39,106.07,103.52,105.18,1476482
2022-08-09,110.16,110.5,109.47,110.18,1251776
2022-08-10,106.79,106.89,104.93,106.17,2410669
2022-08-11,107.49,108.49,105.83,107.66,1009341
2022-08-12,104.16,104.36,101.81,104.26,1774402
2022-08-15,105.48,105.81,105.3,105.75,642513
2022-08-16,103.44,104.04,103.11,103.52,1093071
2022-08-17,101.63,103.16,101.14,102.07,848218
2022-08-18,103.31,104.0,102.9,103.49,541889
2022-08-19,102.2,102.7,101.79,102.01,1749327
2022-08-22,101.38,102.5,100.52,101.28,1996146
2022-08-23,105.3,107.49,105.3,105.73,2356167
2022-08-24,107.04,107.53,106.61,107.1,1725879
2022-08-25,101.98,103.58,101.98,102.87,2273849
2022-08-26,104.07,104.07,101.5,103.28,2193028
2022-08-29,101.09,104.94,101.09,102.1,763457
2022-08-30,101.9,103.82,101.39,101.89,2181406
2022-08-31,102.96,104.25,101.53,102.94,1095096
2022-09-01,105.04,106.14,103.01,104.76,2022243
2022-09-02,102.07,102.72,102.07,102.3,1952923
2022-09-05,100.05,100.76,99.4,99.41,570622
2022-09-06,102.68,103.5,100.67,103.0,1153863
2022-09-07,104.31,104.31,103.07,103.86,1236619
2022-09-08,101.45,102.48,99.84,101.3,1283051
2022-09-09,103.38,104.29,103.19,103.19,1210986
2022-09-12,107.45,108.57,106.06,106.69,1496511
2022-09-13,105.89,105.89,105.44,105.68,1915361
2022-09-14,107.47,109.8,107.23,108.41,1156385
2022-09-15,107.08,107.08,106.54,106.91,1971326
2022-09-16,107.63,110.9,105.81,107.89,1772354
2022-09-19,107.36,107.51,106.99,107.49,1536157
2022-09-20,100.68,101.95,100.44,100.77,2245460
2022-09-21,98.64,99.22,96.68,98.74,1465937
2022-09-22,98.26,98.33,97.67,98.27,1373701
2022-09-23,96.11,97.57,95.51,95.86,770708
2022-09-26,95.78,96.32,94.96,95.47,630732
2022-09-27,96.4,96.4,95.63,95.73,778490
2022-09-28,99.28,99.3,97.93,98.55,543646
2022-09-29,96.69,97.78,94.62,95.78,604515
2022-09-30,98.79,98.79,96.95,98.06,1013060
2022-10-03,97.15,98.05,96.51,97.12,729537
2022-10-04,98.07,99.4,97.35,97.53,1587076
2022-10-05,96.16,96.7,96.06,96.38,2391396
2022-10-06,96.31,98.23,95.37,96.54,1801946
2022-10-07,96.36,96.36,94.9,95.82,1418479
2022-10-10,100.38,102.87,99.86,100.51,2469979
2022-10-11,97.99,98.14,97.92,98.07,2318440
2022-10-12,102.66,103.31,102.17,102.37,2144206
2022-10-13,98.04,99.58,97.09,98.47,1546659
2022-10-14,98.35,99.14,97.5,98.19,2095828
2022-10-17,97.81,99.14,97.81,98.73,2287979
2022-10-18,98.59,98.66,97.42,98.34,666928
2022-10-19,98.63,99.52,96.07,97.4,1335521
2022-10-20,95.32,98.18,94.47,96.28,2263855
2022-10-21,98.04,98.19,97.93,97.95,1554799
2022-10-24,98.88,100.48,98.35,99.12,1488424
2022-10-25,100.29,100.61,99.3,99.75,2151956
2022-10-26,101.29,101.58,101.29,101.4,1400701
2022-10-27,102.35,104.29,101.19,102.71,2182895
2022-10-28,100.4,102.7,99.96,101.04,1852355
2022-10-31,101.87,103.28,101.87,102.72,1107892
2022-11-01,103.28,104.76,100.79,102.7,2076894
2022-11-02,103.34,103.54,100.94,102.96,1620881
2022-11-03,105.95,106.02,105.27,105.65,1593296
2022-11-04,104.31,105.91,104.26,104.43,584049
2022-11-07,104.23,105.5,102.74,104.76,2245507
2022-11-08,106.77,107.69,106.65,107.11,983787
2022-11-09,108.97,109.18,108.74,108.91,1094475
2022-11-10,111.28,111.75,110.65,110.72,2204527
2022-11-11,112.89,115.13,111.47,113.67,657938
2022-11-14,114.79,114.79,113.81,114.64,2158573
2022-11-15,115.19,117.18,113.79,115.4,1133893
2022-11-16,115.84,116.54,114.03,115.13,1386760
2022-11-17,115.85,116.84,114.0,115.37,974866
2022-11-18,116.75,117.0,115.98,116.78,1804448
2022-11-21,117.31,117.75,116.51,117.48,1464082
2022-11-22,114.35,115.38,114.35,114.68,1533145
2022-11-23,117.11,117.4,117.11,117.39,716051
2022-11-24,119.31,120.58,118.37,119.29,1086977
2022-11-25,121.21,122.17,120.52,120.81,727676
2022-11-28,120.41,121.87,118.9,120.21,1118745
2022-11-29,118.88,123.36,117.88,120.41,1772802
2022-11-30,118.9,119.01,118.77,118.82,1873179
2022-12-01,121.06,121.55,120.75,121.18,742050
2022-12-02,120.07,122.25,120.07,120.85,1209542
2022-12-05,117.97,119.49,116.68,119.16,1567934
2022-12-06,117.64,117.86,117.42,117.85,1472000
2022-12-07,116.08,116.08,115.67,115.95,1186334
2022-12-08,117.06,118.31,114.25,116.54,1359862
2022-12-09,117.87,117.87,116.35,117.14,1392839
2022-12-12,115.29,116.43,115.04,115.47,785188
2022-12-13,110.74,113.25,110.74,112.2,1791644
2022-12-14,108.9,109.88,108.9,109.1,1122434
2022-12-15,106.9,109.0,106.71,107.57,2476071
2022-12-16,107.11,108.34,106.89,107.13,555073
2022-12-19,113.65,114.26,112.86,113.02,1127933
2022-12-20,114.16,114.53,110.14,112.68,1076810
2022-12-21,112.14,113.93,111.4,112.66,1582815
2022-12-22,110.7,110.99,109.91,110.44,2167299
2022-12-23,109.89,110.96,109.89,110.43,615295
2022-12-26,108.95,110.38,107.31,108.75,1638754
2022-12-27,108.87,110.36,108.87,109.91,1451092
2022-12-28,114.22,114.22,111.32,113.35,1944286
2022-12-29,113.73,114.93,112.86,113.13,749641
2022-12-30,115.32,115.32,111.58,114.07,797591
2023-01-02,116.06,116.32,114.13,115.31,2461478
2023-01-03,115.49,116.81,114.02,115.36,2412094
2023-01-04,115.54,115.74,114.62,115.61,2193937
2023-01-05,113.7,114.06,111.11,113.86,1520864
2023-01-06,113.89,116.12,113.89,113.94,1875444
2023-01-09,120.09,123.29,117.84,120.84,528630
2023-01-10,125.12,128.65,123.99,126.18,2006855
2023-01-11,125.32,126.26,121.98,124.28,1727208
2023-01-12,126.41,126.94,126.41,126.5,1314212
2023-01-13,127.25,127.28,126.89,126.99,2395376
2023-01-16,128.02,129.02,128.0,128.45,2106965
2023-01-17,126.3,128.39,123.69,126.94,1452873
2023-01-18,121.82,122.52,120.42,121.69,1215628
2023-01-19,120.44,120.75,118.17,120.44,1398699
2023-01-20,119.07,120.1,118.48,118.65,983863
2023-01-23,124.73,125.13,124.42,124.48,1135173
2023-01-24,126.75,127.21,126.75,126.89,1913952
2023-01-25,125.25,126.15,125.25,125.46,1981808
2023-01-26,122.88,123.41,122.68,123.25,2185423
2023-01-27,124.39,125.75,123.07,124.49,2319886
2023-01-30,129.62,130.81,126.01,128.85,2401545
2023-01-31,128.49,128.53,127.37,127.67,1788298
2023-02-01,123.4,123.67,122.67,123.4,1365458
2023-02-02,126.54,127.25,126.04,126.81,604710
2023-02-03,127.62,127.82,124.03,126.55,923988
2023-02-06,124.56,125.26,123.59,124.22,898430
2023-02-07,122.76,125.23,122.76,124.26,723024
2023-02-08,123.32,125.0,122.54,124.4,1258188
2023-02-09,123.17,123.35,123.11,123.31,1485729
2023-02-10,123.96,125.89,123.76,124.88,1428190
2023-02-13,121.57,124.66,121.57,122.26,535104
2023-02-14,123.32,124.73,122.76,123.55,1243478
2023-02-15,125.65,125.65,124.94,125.35,2194121
2023-02-16,122.78,123.2,122.05,122.59,1415991
2023-02-17,118.42,119.44,118.42,118.91,993207
2023-02-20,120.79,121.35,120.79,121.05,781605
2023-02-21,123.98,126.89,123.4,124.88,2122247
2023-02-22,124.57,126.21,123.43,125.2,1190384
2023-02-23,129.61,129.61,126.53,128.21,1915442
2023-02-24,128.52,128.54,128.4,128.41,1395346
2023-02-27,137.13,139.1,137.13,137.99,1391083
2023-02-28,141.42,141.42,139.51,140.73,2086285
2023-03-01,141.44,143.49,138.97,142.58,2402859
2023-03-02,146.87,149.68,142.27,146.57,1019083
2023-03-03,144.08,145.15,143.63,143.8,2462355
2023-03-06,144.39,144.66,141.73,143.84,825399
2023-03-07,139.19,142.58,139.16,140.51,518076
2023-03-08,135.17,136.66,134.49,134.92,944151
2023-03-09,133.51,135.7,132.94,134.22,1357404
2023-03-10,135.89,136.56,135.67,136.19,1077769
2023-03-13,144.59,146.3,143.07,145.29,1628148
2023-03-14,140.75,142.66,140.75,141.36,2336478
2023-03-15,136.18,137.18,136.18,136.65,572037
2023-03-16,137.11,137.64,136.17,136.53,1663244
2023-03-17,138.18,138.88,136.48,137.61,1064992
2023-03-20,131.42,132.22,130.71,131.79,642316
2023-03-21,128.35,129.24,127.99,128.43,2121757
2023-03-22,131.1,131.3,127.84,130.18,1809301
2023-03-23,130.92,132.18,130.55,131.17,1350456
2023-03-24,128.37,128.85,128.17,128.75,1333131
2023-03-27,125.14,125.56,123.7,124.68,1345258
2023-03-28,127.62,127.63,125.97,127.11,863227
2023-03-29,125.52,126.26,123.22,124.65,2008496
2023-03-30,125.16,127.05,124.71,125.94,1588993
2023-03-31,124.88,125.11,122.43,124.64,2404443
2023-04-03,120.71,122.79,117.61,119.98,1423432
2023-04-04,119.89,120.99,116.26,118.68,1048143
2023-04-05,115.42,116.47,114.89,115.9,2457050
2023-04-06,120.76,122.8,118.25,120.56,2394181
2023-04-07,121.28,121.47,120.33,120.67,1968887
2023-04-10,119.32,121.46,119.2,119.31,1936907
2023-04-11,118.97,119.37,116.28,118.81,1293107
2023-04-12,120.11,121.16,120.11,120.3,1080091
2023-04-13,121.35,124.36,119.55,122.16,1749748
2023-04-14,119.76,122.84,118.78,120.9,1848039
2023-04-17,114.09,114.37,112.37,113.58,1164912
2023-04-18,110.31,110.47,109.54,110.21,1842958
2023-04-19,113.88,113.88,112.3,113.29,702745
2023-04-20,117.77,117.77,116.49,117.1,635005
2023-04-21,115.73,116.92,114.51,116.54,1307202
2023-04-24,125.09,128.86,124.61,126.24,651167
2023-04-25,129.49,130.23,128.78,129.12,1747297
2023-04-26,130.09,130.09,128.78,128.82,1001786
2023-04-27,125.89,128.36,124.72,126.4,1042192
2023-04-28,121.47,124.55,120.12,122.43,809657
2023-05-01,117.63,118.36,116.48,117.76,2179603
2023-05-02,115.82,117.03,115.17,116.27,516639
2023-05-03,114.55,114.55,112.46,113.81,1368041
2023-05-04,117.07,118.32,116.76,117.73,1678907
2023-05-05,120.37,121.41,119.26,119.85,682782
2023-05-08,122.49,125.45,121.76,123.7,2402981
2023-05-09,122.98,124.15,119.01,121.61,1588507
2023-05-10,125.7,126.17,124.47,125.4,1542898
2023-05-11,126.85,127.1,126.0,126.78,1576663
2023-05-12,124.45,124.74,122.9,124.2,2074774
2023-05-15,118.05,118.99,118.05,118.34,1505262
2023-05-16,120.27,120.95,119.86,120.58,2028881
2023-05-17,124.64,126.55,124.64,125.29,820925
2023-05-18,122.18,122.18,121.31,121.86,2128251
2023-05-19,122.75,123.57,122.48,123.27,999913
